LABEL,ABBR,CAP,GLOBCAP,GLOBPREF,GLOBSUFF,LOC,POS,POS+1,POS-1,PREF,SUFF,WORD,WORD+1,WORD-1
O,0,0,0,0,0,0,NN,IN,JJ,0,0,legacy,of,eight-year
O,0,0,0,0,0,0,IN,NNP,NN,0,0,of,President,legacy
O,0,1,1,0,0,0,NNP,NNP,IN,0,0,President,Reagan,of
B-PER,0,1,1,0,0,0,NNP,IN,NNP,0,0,Reagan,in,President
O,0,0,0,0,0,0,IN,NNP,NNP,0,0,in,Latin,Reagan
B-LOC,0,1,1,0,0,0,NNP,NNP,IN,0,0,Latin,America,in
I-LOC,0,1,1,0,0,0,NNP,",",NNP,0,0,America,",",Latin
O,0,0,0,0,0,0,",",NNP,NNP,0,0,",",Abrams,America
B-PER,0,1,1,0,0,0,NNP,VBD,",",0,0,Abrams,praised,","
O,0,0,0,0,0,0,VBD,DT,NNP,0,0,praised,the,Abrams
O,0,0,1,0,0,0,DT,JJ,VBD,0,0,the,democratic,praised
O,0,0,1,0,0,0,JJ,NNS,DT,0,0,democratic,gains,the
O,0,0,0,0,0,0,NNS,IN,JJ,0,0,gains,in,democratic
O,0,0,0,0,0,0,IN,DT,NNS,0,0,in,the,gains
O,0,0,1,0,0,0,DT,NN,IN,0,0,the,hemisphere,in
O,0,0,0,0,0,0,NN,CC,DT,0,0,hemisphere,and,the
O,0,0,1,0,0,0,CC,VBD,NN,0,0,and,touched,hemisphere
O,0,0,0,0,0,0,VBD,JJ,CC,0,0,touched,only,and
O,0,0,0,0,0,0,JJ,RB,VBD,0,0,only,briefly,touched
O,0,0,0,0,0,0,RB,IN,JJ,0,0,briefly,on,only
O,0,0,0,0,0,0,IN,DT,RB,0,0,on,the,briefly
O,0,0,1,0,0,0,DT,NN,IN,0,0,the,region,on
O,0,0,0,0,0,0,NN,POS,DT,0,0,region,'s,the
O,0,0,0,0,0,0,POS,JJ,NN,0,0,'s,debt-induced,region
O,0,0,0,0,0,0,JJ,JJ,POS,0,0,debt-induced,economic,'s
O,0,0,1,0,0,0,JJ,NN,JJ,0,0,economic,crisis,debt-induced
O,0,0,1,0,0,0,NN,",",JJ,0,0,crisis,",",economic
O,0,0,0,0,0,0,",",WDT,NN,0,0,",",which,crisis
O,0,0,0,0,0,0,WDT,VBZ,",",0,0,which,has,","
O,0,0,1,0,0,0,VBZ,VBN,WDT,0,0,has,led,which
O,0,0,0,0,0,0,VBN,TO,VBZ,0,0,led,to,has
O,0,0,0,0,0,0,TO,VBG,VBN,0,0,to,declining,led
O,0,0,0,0,0,0,VBG,VBG,TO,0,0,declining,living,to
O,0,0,0,0,0,0,VBG,NNS,VBG,0,0,living,standards,declining
O,0,0,0,0,0,0,NNS,IN,VBG,0,0,standards,in,living
O,0,0,0,0,0,0,IN,JJS,NNS,0,0,in,most,standards
O,0,0,0,0,0,0,JJS,NNS,IN,0,0,most,countries,in
O,0,0,1,0,0,0,NNS,.,JJS,0,0,countries,.,most
O,0,0,0,0,0,0,.,OMEGAPOS,NNS,0,0,.,OMEGA,countries
O,0,1,1,0,0,0,DT,NN,PHIPOS,0,0,The,special,PHI
O,0,0,1,0,0,0,NN,VBZ,DT,0,0,special,has,The
O,0,0,1,0,0,0,VBZ,RB,NN,0,0,has,already,special
O,0,0,0,0,0,0,RB,VBN,VBZ,0,0,already,aired,has
O,0,0,0,0,0,0,VBN,RB,RB,0,0,aired,once,already
O,0,0,0,0,0,0,RB,IN,VBN,0,0,once,in,aired
O,0,0,0,0,0,0,IN,NNP,RB,0,0,in,Japan,once
B-LOC,0,1,1,0,0,1,NNP,CC,IN,0,0,Japan,and,in
O,0,0,1,0,0,0,CC,MD,NNP,0,0,and,will,Japan
O,0,0,0,0,0,0,MD,VB,CC,0,0,will,be,and
O,0,0,0,0,0,0,VB,VBN,MD,0,0,be,repeated,will
O,0,0,0,0,0,0,VBN,.,VB,0,0,repeated,.,be
O,0,0,0,0,0,0,.,OMEGAPOS,VBN,0,0,.,OMEGA,repeated
O,0,1,0,0,0,0,NNP,NNP,PHIPOS,0,0,Assistant,Charles,PHI
B-PER,0,1,1,0,0,0,NNP,NNP,NNP,0,0,Charles,A.,Assistant
I-PER,1,1,0,0,0,0,NNP,NNP,NNP,0,0,A.,Palmer,Charles
I-PER,0,1,1,0,0,0,NNP,IN,NNP,0,0,Palmer,of,A.
O,0,0,0,0,0,0,IN,NNP,NNP,0,0,of,Texas,Palmer
B-LOC,0,1,1,0,0,0,NNP,VBD,IN,0,0,Texas,argued,of
O,0,0,0,0,0,0,VBD,IN,NNP,0,0,argued,that,Texas
O,0,0,1,0,0,0,IN,VBG,VBD,0,0,that,executing,argued
O,0,0,0,0,0,0,VBG,NNP,IN,0,0,executing,Penry,that
B-PER,0,1,1,0,0,0,NNP,MD,VBG,0,0,Penry,would,executing
O,0,0,0,0,0,0,MD,RB,NNP,0,0,would,not,Penry
O,0,0,1,0,0,0,RB,VB,MD,0,0,not,violate,would
O,0,0,0,0,0,0,VB,DT,RB,0,0,violate,the,not
O,0,0,1,0,0,0,DT,NNP,VB,0,0,the,Constitution,violate
O,0,1,1,0,0,0,NNP,POS,DT,0,0,Constitution,'s,the
O,0,0,0,0,0,0,POS,NN,NNP,0,0,'s,ban,Constitution
O,0,0,0,0,0,0,NN,IN,POS,0,0,ban,against,'s
O,0,0,0,0,0,0,IN,JJ,NN,0,0,against,cruel,ban
O,0,0,0,0,0,0,JJ,CC,IN,0,0,cruel,and,against
O,0,0,1,0,0,0,CC,JJ,JJ,0,0,and,inhuman,cruel
O,0,0,0,0,0,0,JJ,NN,CC,0,0,inhuman,punishment,and
O,0,0,0,0,0,0,NN,.,JJ,0,0,punishment,.,inhuman
O,0,0,0,0,0,0,.,OMEGAPOS,NN,0,0,.,OMEGA,punishment
O,0,0,0,0,0,0,``,``,PHIPOS,0,0,`,`,PHI
O,0,0,0,0,0,0,``,VB,``,0,0,`,Live,`
O,0,1,1,0,0,0,VB,IN,``,0,0,Live,in,`
O,0,0,0,0,0,0,IN,NNP,VB,0,0,in,Montreux,Live
O,0,1,1,0,0,0,NNP,",",IN,0,0,Montreux,",",in
O,0,0,0,0,0,0,",",'',NNP,0,0,",",',Montreux
O,0,0,0,0,0,0,'','',",",0,0,',',","
O,0,0,0,0,0,0,'',NNP,'',0,0,',Joao,'
B-PER,0,1,1,0,0,0,NNP,NNP,'',0,0,Joao,Gilberto,'
I-PER,0,1,1,0,0,0,NNP,:,NNP,0,0,Gilberto,;,Joao
O,0,0,0,0,0,0,:,OMEGAPOS,NNP,0,0,;,OMEGA,Gilberto
O,0,1,1,0,0,0,DT,NN,PHIPOS,0,0,A,rally,PHI
O,0,0,0,0,0,0,NN,IN,DT,0,0,rally,of,A
O,0,0,0,0,0,0,IN,JJ,NN,0,0,of,several,rally
O,0,0,0,0,0,0,JJ,CD,IN,0,0,several,thousand,of
O,0,0,0,0,0,0,CD,NN,JJ,0,0,thousand,Solidarity,several
B-ORG,0,1,1,0,0,0,NN,NNS,CD,0,0,Solidarity,supporters,thousand
O,0,0,0,0,0,0,NNS,VBD,NN,0,0,supporters,was,Solidarity
O,0,0,0,0,0,0,VBD,VBN,NNS,0,0,was,held,supporters
O,0,0,0,0,0,0,VBN,NNP,VBD,0,0,held,Tuesday,was
O,0,1,1,0,0,0,NNP,IN,VBN,0,0,Tuesday,at,held
O,0,0,0,0,0,0,IN,DT,NNP,0,0,at,the,Tuesday
O,0,0,1,0,0,0,DT,NNP,IN,0,0,the,Lenin,at
B-LOC,0,1,1,0,0,0,NNP,NNP,DT,0,0,Lenin,Shipyard,the
I-LOC,0,1,1,0,0,0,NNP,IN,NNP,0,0,Shipyard,in,Lenin
O,0,0,0,0,0,0,IN,NNP,NNP,0,0,in,Gdansk,Shipyard
B-LOC,0,1,1,0,0,0,NNP,",",IN,0,0,Gdansk,",",in
O,0,0,0,0,0,0,",",WRB,NNP,0,0,",",where,Gdansk
O,0,0,1,0,0,0,WRB,NNP,",",0,0,where,Walesa,","
B-PER,0,1,1,0,0,0,NNP,VBZ,WRB,0,0,Walesa,works,where
O,0,0,0,0,0,0,VBZ,.,NNP,0,0,works,.,Walesa
O,0,0,0,0,0,0,.,OMEGAPOS,VBZ,0,0,.,OMEGA,works
B-PER,0,1,1,0,0,0,NNP,CC,PHIPOS,0,0,Urutigoechea,and,PHI
O,0,0,1,0,0,0,CC,DT,NNP,0,0,and,the,Urutigoechea
O,0,0,1,0,0,0,DT,NNS,CC,0,0,the,others,and
O,0,0,0,0,0,0,NNS,VBD,DT,0,0,others,were,the
O,0,0,0,0,0,0,VBD,VBN,NNS,0,0,were,arrested,others
O,0,0,0,0,0,0,VBN,NNP,VBD,0,0,arrested,Wednesday,were
O,0,1,1,0,0,0,NNP,IN,VBN,0,0,Wednesday,in,arrested
O,0,0,0,0,0,0,IN,DT,NNP,0,0,in,the,Wednesday
O,0,0,1,0,0,0,DT,NNS,IN,0,0,the,cities,in
O,0,0,0,0,0,0,NNS,IN,DT,0,0,cities,of,the
O,0,0,0,0,0,0,IN,NNP,NNS,0,0,of,Bayonee,cities
B-LOC,0,1,1,0,0,0,NNP,CC,IN,0,0,Bayonee,and,of
O,0,0,1,0,0,0,CC,NNP,NNP,0,0,and,Bonloc,Bayonee
B-LOC,0,1,1,0,0,0,NNP,IN,CC,0,0,Bonloc,in,and
O,0,0,0,0,0,0,IN,JJ,NNP,0,0,in,southwestern,Bonloc
O,0,0,0,0,0,0,JJ,NNP,IN,0,0,southwestern,France,in
B-LOC,0,1,1,0,0,1,NNP,IN,JJ,0,0,France,in,southwestern
O,0,0,0,0,0,0,IN,NNP,NNP,0,0,in,Poitiers,France
B-LOC,0,1,1,0,0,0,NNP,IN,IN,0,0,Poitiers,in,in
O,0,0,0,0,0,0,IN,JJ,NNP,0,0,in,west-central,Poitiers
O,0,0,0,0,0,0,JJ,NNP,IN,0,0,west-central,France,in
B-LOC,0,1,1,0,0,1,NNP,.,JJ,0,0,France,.,west-central
O,0,0,0,0,0,0,.,OMEGAPOS,NNP,0,0,.,OMEGA,France
O,0,1,1,0,0,0,NNP,IN,PHIPOS,0,0,Temperatures,around,PHI
O,0,0,0,0,0,0,IN,DT,NNP,0,0,around,the,Temperatures
O,0,0,1,0,0,0,DT,NN,IN,0,0,the,nation,around
O,0,0,1,0,0,0,NN,IN,DT,0,0,nation,at,the
O,0,0,0,0,0,0,IN,CD,NN,0,0,at,2,nation
O,0,0,0,0,0,0,CD,RB,IN,0,0,2,a.m.,at
O,1,0,0,0,0,0,RB,NNP,CD,0,0,a.m.,EST,2
O,0,1,1,0,0,0,NNP,VBD,RB,0,0,EST,ranged,a.m.
O,0,0,0,0,0,0,VBD,IN,NNP,0,0,ranged,from,EST
O,0,0,0,0,0,0,IN,CD,VBD,0,0,from,9,ranged
O,0,0,0,0,0,0,CD,NNS,IN,0,0,9,degrees,from
O,0,0,0,0,0,0,NNS,IN,CD,0,0,degrees,below,9
O,0,0,0,0,0,0,IN,CD,NNS,0,0,below,zero,degrees
O,0,0,0,0,0,0,CD,IN,IN,0,0,zero,at,below
O,0,0,0,0,0,0,IN,NNP,CD,0,0,at,Yellowstone,zero
B-LOC,0,1,1,0,0,0,NNP,",",IN,0,0,Yellowstone,",",at
O,0,0,0,0,0,0,",",NNP,NNP,0,0,",",Wyo.,Yellowstone
B-LOC,1,1,0,0,0,0,NNP,",",",",0,0,Wyo.,",",","
O,0,0,0,0,0,0,",",TO,NNP,0,0,",",to,Wyo.
O,0,0,0,0,0,0,TO,CD,",",0,0,to,85,","
O,0,0,0,0,0,0,CD,NNS,TO,0,0,85,degrees,to
O,0,0,0,0,0,0,NNS,IN,CD,0,0,degrees,at,85
O,0,0,0,0,0,0,IN,NNP,NNS,0,0,at,McAllen,degrees
B-LOC,0,1,1,0,0,0,NNP,",",IN,0,0,McAllen,",",at
O,0,0,0,0,0,0,",",NNP,NNP,0,0,",",Texas,McAllen
B-LOC,0,1,1,0,0,0,NNP,.,",",0,0,Texas,.,","
O,0,0,0,0,0,0,.,OMEGAPOS,NNP,0,0,.,OMEGA,Texas
O,0,1,0,0,0,0,CC,DT,PHIPOS,0,0,But,the,PHI
O,0,0,1,0,0,0,DT,NNP,CC,0,0,the,West,But
B-ORG,0,1,1,0,0,0,NNP,NNP,DT,0,0,West,Michigan,the
I-ORG,0,1,1,0,0,0,NNP,NNP,NNP,0,0,Michigan,Dental,West
I-ORG,0,1,1,0,0,0,NNP,NNP,NNP,0,0,Dental,Society,Michigan
I-ORG,0,1,1,0,0,0,NNP,VBZ,NNP,0,0,Society,objects,Dental
O,0,0,0,0,0,0,VBZ,TO,NNP,0,0,objects,to,Society
O,0,0,0,0,0,0,TO,DT,VBZ,0,0,to,the,objects
O,0,0,1,0,0,0,DT,NN,TO,0,0,the,sculpture,to
O,0,0,0,0,0,0,NN,",",DT,0,0,sculpture,",",the
O,0,0,0,0,0,0,",",VBG,NN,0,0,",",contending,sculpture
O,0,0,0,0,0,0,VBG,DT,",",0,0,contending,a,","
O,0,0,1,0,0,0,DT,NN,VBG,0,0,a,symbol,contending
O,0,0,0,0,0,0,NN,IN,DT,0,0,symbol,of,a
O,0,0,0,0,0,0,IN,DT,NN,0,0,of,an,symbol
O,0,0,1,0,0,0,DT,VBN,IN,0,0,an,extracted,of
O,0,0,0,0,0,0,VBN,NN,DT,0,0,extracted,tooth,an
O,0,0,0,0,0,0,NN,MD,VBN,0,0,tooth,may,extracted
O,0,0,1,0,0,0,MD,VB,NN,0,0,may,perpetuate,tooth
O,0,0,0,0,0,0,VB,NNS,MD,0,0,perpetuate,stereotypes,may
O,0,0,0,0,0,0,NNS,VBG,VB,0,0,stereotypes,linking,perpetuate
O,0,0,0,0,0,0,VBG,NN,NNS,0,0,linking,dentistry,stereotypes
O,0,0,0,0,0,0,NN,TO,VBG,0,0,dentistry,to,linking
O,0,0,0,0,0,0,TO,NN,NN,0,0,to,pain,dentistry
O,0,0,0,0,0,0,NN,.,TO,0,0,pain,.,to
O,0,0,0,0,0,0,.,OMEGAPOS,NN,0,0,.,OMEGA,pain
B-LOC,0,1,1,0,0,0,NNP,NNP,PHIPOS,0,0,NIAGARA,FALLS,PHI
